1,7,improvment of qualification,free,261
4,1,preparation for olympiad,improved,122
7,2,self-improvment,vip,920
8,8,improving marks,free,784
9,5,improvment of qualification,free,225
10,3,improvment of qualification,free,461
12,7,self-improvment,improved,668
13,3,improving marks,improved,338
14,2,preparation for olympiad,vip,685
16,8,preparation for GIA,improved,796
17,2,improvment of qualification,improved,444
20,3,preparation for GIA,improved,739
21,7,preparation for GIA,improved,666
22,4,improvment of qualification,free,803
23,8,improving marks,vip,679
24,8,improvment of qualification,free,278
25,7,improvment of qualification,vip,715
26,9,preparation for olympiad,vip,970
27,7,preparation for EGE,free,591
28,1,preparation for EGE,improved,104
30,8,preparation for EGE,improved,712
31,11,preparation for EGE,vip,370
32,10,improving marks,free,280
33,7,preparation for EGE,improved,666
34,10,self-improvment,improved,491
35,4,preparation for GIA,improved,769
36,7,improving marks,improved,608
37,7,preparation for EGE,vip,39
38,6,improvment of qualification,free,203
39,6,self-improvment,improved,845
40,1,preparation for olympiad,improved,147
41,3,improving marks,free,627
42,9,preparation for olympiad,improved,675
43,8,preparation for olympiad,vip,110
45,10,preparation for GIA,vip,574
46,8,self-improvment,free,221
47,4,preparation for EGE,vip,506
48,11,preparation for olympiad,vip,747
49,9,preparation for olympiad,free,224
51,8,self-improvment,vip,846
52,6,preparation for GIA,improved,558
53,3,improvment of qualification,free,13
54,7,preparation for olympiad,vip,894
55,10,improvment of qualification,free,220
57,8,preparation for EGE,vip,487
59,7,preparation for EGE,vip,111
60,5,preparation for EGE,improved,638
61,9,preparation for GIA,free,976
62,9,improvment of qualification,improved,998
63,7,preparation for EGE,free,576
64,7,preparation for EGE,vip,81
66,8,preparation for GIA,improved,73
67,7,self-improvment,vip,442
69,9,improvment of qualification,improved,688
70,5,improving marks,improved,752
71,5,self-improvment,improved,375
73,7,preparation for EGE,free,968
75,11,improvment of qualification,improved,609
76,8,improvment of qualification,free,53
77,7,improving marks,improved,73
78,3,preparation for EGE,vip,637
80,4,preparation for GIA,vip,297
82,4,preparation for EGE,vip,424
83,10,improving marks,improved,969
84,7,preparation for olympiad,vip,120
85,10,preparation for olympiad,improved,827
86,7,preparation for olympiad,improved,10
88,4,preparation for olympiad,vip,247
89,1,improvment of qualification,vip,270
91,1,preparation for olympiad,improved,86
92,7,preparation for GIA,free,797
94,1,improvment of qualification,free,795
95,2,preparation for olympiad,improved,452
96,10,preparation for EGE,vip,53
97,4,improving marks,vip,476
98,6,improvment of qualification,free,212
99,10,improvment of qualification,improved,77
100,11,improving marks,vip,698
101,11,preparation for EGE,vip,228
102,7,preparation for GIA,vip,151
104,3,preparation for GIA,improved,280
105,5,self-improvment,free,887
106,7,self-improvment,free,631
107,10,preparation for EGE,improved,322
108,3,improvment of qualification,vip,209
109,2,improvment of qualification,free,798
110,10,preparation for EGE,improved,640
111,5,improving marks,free,683
112,7,preparation for EGE,free,746
113,2,improvment of qualification,free,228
114,1,improving marks,improved,54
115,4,self-improvment,free,377
116,8,preparation for olympiad,vip,494
117,10,preparation for GIA,free,197
118,9,preparation for olympiad,vip,242
119,6,self-improvment,vip,129
120,3,improving marks,improved,397
121,5,improving marks,free,285
122,2,preparation for EGE,free,573
123,10,improvment of qualification,vip,806
124,10,preparation for EGE,free,201
125,7,preparation for EGE,free,17
126,8,preparation for GIA,vip,811
127,2,improvment of qualification,improved,915
128,5,improvment of qualification,vip,107
130,3,improving marks,improved,821
131,6,preparation for olympiad,vip,318
132,3,preparation for EGE,improved,654
133,9,improvment of qualification,improved,442
134,6,improvment of qualification,free,365
135,7,improving marks,vip,739
136,10,preparation for GIA,vip,115
137,1,improving marks,improved,50
138,9,improvment of qualification,vip,267
139,8,preparation for olympiad,improved,721
140,4,preparation for olympiad,free,929
141,10,preparation for EGE,vip,201
143,3,improving marks,free,381
144,5,preparation for GIA,free,321
145,7,preparation for olympiad,improved,600
146,5,preparation for EGE,free,221
147,6,preparation for GIA,vip,702
148,8,improvment of qualification,free,991
149,3,preparation for olympiad,free,585
150,11,preparation for GIA,vip,550
151,2,improving marks,free,16
153,1,preparation for GIA,free,169
154,7,preparation for olympiad,vip,404
155,1,preparation for GIA,vip,328
156,7,preparation for GIA,vip,750
157,8,preparation for olympiad,vip,281
158,5,preparation for GIA,vip,394
159,2,improvment of qualification,improved,401
160,11,preparation for GIA,improved,74
161,1,improving marks,vip,39
162,2,improvment of qualification,improved,400
163,3,preparation for GIA,free,633
164,10,self-improvment,free,906
165,4,improving marks,free,447
166,7,self-improvment,improved,427
167,2,improving marks,vip,378
168,1,improvment of qualification,vip,781
169,7,preparation for GIA,improved,283
170,1,improving marks,free,523
171,3,improving marks,improved,799
172,4,preparation for olympiad,improved,966
173,8,preparation for olympiad,free,409
174,7,improving marks,improved,965
175,4,preparation for EGE,vip,393
176,6,self-improvment,improved,552
177,7,preparation for EGE,vip,695
178,1,improvment of qualification,vip,960
179,5,preparation for EGE,free,105
181,10,improving marks,free,352
182,8,improving marks,vip,719
183,3,improvment of qualification,improved,411
184,6,preparation for GIA,free,738
185,11,preparation for GIA,free,916
187,4,preparation for EGE,improved,537
188,9,preparation for EGE,improved,736
189,4,preparation for GIA,vip,731
190,4,preparation for EGE,improved,257
191,4,self-improvment,vip,364
192,11,preparation for olympiad,vip,637
193,11,improving marks,improved,252
194,8,preparation for olympiad,vip,992
196,2,preparation for GIA,free,326
198,5,improvment of qualification,free,87
199,3,improvment of qualification,free,359
200,10,preparation for olympiad,free,276
203,10,self-improvment,improved,672
204,7,self-improvment,vip,294
205,10,preparation for EGE,vip,682
206,5,improving marks,improved,435
207,9,preparation for GIA,vip,471
208,3,self-improvment,vip,942
209,10,improvment of qualification,improved,967
210,3,improvment of qualification,improved,909
211,5,improvment of qualification,free,14
212,2,self-improvment,free,653
213,1,self-improvment,vip,354
214,2,self-improvment,vip,121
215,7,improving marks,vip,40
216,4,preparation for EGE,free,785
217,8,preparation for GIA,improved,947
218,3,improving marks,improved,291
219,4,improvment of qualification,vip,279
220,8,improving marks,vip,410
221,7,self-improvment,free,478
223,10,improvment of qualification,improved,423
225,4,preparation for EGE,improved,915
226,6,self-improvment,free,409
227,3,preparation for olympiad,vip,207
228,3,improving marks,improved,372
229,3,preparation for GIA,free,698
